id,topic,difficulty,pdf_path,test_case_1,test_case_2,test_case_3,,,,,
236,Strings,Hard,challenges/gridland-provinces/gridland-provinces.pdf,challenges/gridland-provinces/input/input00.txt : challenges/gridland-provinces/output/output00.txt , challenges/gridland-provinces/input/input04.txt : challenges/gridland-provinces/output/output04.txt,,,,,,
237,Strings,Expert,challenges/cards-permutation/cards-permutation.pdf,challenges/cards-permutation/input/input00.txt : challenges/cards-permutation/output/output00.txt , challenges/cards-permutation/input/input01.txt : challenges/cards-permutation/output/output01.txt,,,,,,
238,Strings,Advanced,challenges/ashton-and-string/ashton-and-string.pdf,challenges/ashton-and-string/input/input00.txt : challenges/ashton-and-string/output/output00.txt,,,,,,,
239,Strings,Expert,challenges/string-similarity/string-similarity.pdf,challenges/string-similarity/input/input00.txt : challenges/string-similarity/output/output00.txt , challenges/string-similarity/input/input13.txt : challenges/string-similarity/output/output13.txt,,,,,,
240,Strings,Advanced,challenges/circular-palindromes/circular-palindromes.pdf,challenges/circular-palindromes/input/input00.txt : challenges/circular-palindromes/output/output00.txt , challenges/circular-palindromes/input/input01.txt : challenges/circular-palindromes/output/output01.txt , challenges/circular-palindromes/input/input02.txt : challenges/circular-palindromes/output/output02.txt,,,,,
241,Strings,Advanced,challenges/similar-strings/similar-strings.pdf,challenges/similar-strings/input/input00.txt : challenges/similar-strings/output/output00.txt,,,,,,,
242,Strings,Expert,challenges/save-humanity/save-humanity.pdf,challenges/save-humanity/input/input10.txt : challenges/save-humanity/output/output10.txt , challenges/save-humanity/input/input11.txt : challenges/save-humanity/output/output11.txt,,,,,,
243,Strings,Expert,challenges/find-strings/find-strings.pdf,challenges/find-strings/input/input00.txt : challenges/find-strings/output/output00.txt , challenges/find-strings/input/input07.txt : challenges/find-strings/output/output07.txt,,,,,,
244,Strings,Expert,challenges/palindromic-border/palindromic-border.pdf,challenges/palindromic-border/input/input22.txt : challenges/palindromic-border/output/output22.txt , challenges/palindromic-border/input/input23.txt : challenges/palindromic-border/output/output23.txt , challenges/palindromic-border/input/input24.txt : challenges/palindromic-border/output/output24.txt,,,,,
245,Strings,Advanced,challenges/two-two/two-two.pdf,challenges/two-two/input/input00.txt : challenges/two-two/output/output00.txt,,,,,,,
246,Strings,Expert,challenges/two-strings-game/two-strings-game.pdf,challenges/two-strings-game/input/input11.txt : challenges/two-strings-game/output/output11.txt,,,,,,,
247,Strings,Expert,challenges/letter-islands/letter-islands.pdf,challenges/letter-islands/input/input00.txt : challenges/letter-islands/output/output00.txt,,,,,,,
248,Strings,Expert,challenges/pseudo-isomorphic-substrings/pseudo-isomorphic-substrings.pdf,challenges/pseudo-isomorphic-substrings/input/input00.txt : challenges/pseudo-isomorphic-substrings/output/output00.txt,,,,,,,
249,Strings,Expert,challenges/how-many-substrings/how-many-substrings.pdf,challenges/how-many-substrings/input/input00.txt : challenges/how-many-substrings/output/output00.txt,,,,,,,
250,Search,Medium,challenges/hackerland-radio-transmitters/hackerland-radio-transmitters.pdf,challenges/hackerland-radio-transmitters/input/input00.txt : challenges/hackerland-radio-transmitters/output/output00.txt , challenges/hackerland-radio-transmitters/input/input01.txt : challenges/hackerland-radio-transmitters/output/output01.txt,,,,,,
251,Search,Medium,challenges/gridland-metro/gridland-metro.pdf,challenges/gridland-metro/input/input00.txt : challenges/gridland-metro/output/output00.txt , challenges/gridland-metro/input/input01.txt : challenges/gridland-metro/output/output01.txt,,,,,,
252,Search,Easy,challenges/icecream-parlor/icecream-parlor.pdf,challenges/icecream-parlor/input/input00.txt : challenges/icecream-parlor/output/output00.txt , challenges/icecream-parlor/input/input03.txt : challenges/icecream-parlor/output/output03.txt,,,,,,
253,Search,Medium,challenges/knightl-on-chessboard/knightl-on-chessboard.pdf,challenges/knightl-on-chessboard/input/input00.txt : challenges/knightl-on-chessboard/output/output00.txt,,,,,,,
254,Search,Medium,challenges/minimum-loss/minimum-loss.pdf,challenges/minimum-loss/input/input00.txt : challenges/minimum-loss/output/output00.txt , challenges/minimum-loss/input/input01.txt : challenges/minimum-loss/output/output01.txt,,,,,,
255,Search,Easy,challenges/missing-numbers/missing-numbers.pdf,challenges/missing-numbers/input/input00.txt : challenges/missing-numbers/output/output00.txt , challenges/missing-numbers/input/input04.txt : challenges/missing-numbers/output/output04.txt,,,,,,
256,Search,Medium,challenges/pairs/pairs.pdf,challenges/pairs/input/input15.txt : challenges/pairs/output/output15.txt , challenges/pairs/input/input16.txt : challenges/pairs/output/output16.txt , challenges/pairs/input/input17.txt : challenges/pairs/output/output17.txt,,,,,
257,Search,Easy,challenges/sherlock-and-array/sherlock-and-array.pdf,challenges/sherlock-and-array/input/input05.txt : challenges/sherlock-and-array/output/output05.txt , challenges/sherlock-and-array/input/input07.txt : challenges/sherlock-and-array/output/output07.txt,,,,,,
258,Search,Hard,challenges/maximum-subarray-sum/maximum-subarray-sum.pdf,challenges/maximum-subarray-sum/input/input00.txt : challenges/maximum-subarray-sum/output/output00.txt , challenges/maximum-subarray-sum/input/input17.txt : challenges/maximum-subarray-sum/output/output17.txt , challenges/maximum-subarray-sum/input/input18.txt : challenges/maximum-subarray-sum/output/output18.txt,,,,,
259,Search,Medium,challenges/connected-cell-in-a-grid/connected-cell-in-a-grid.pdf,challenges/connected-cell-in-a-grid/input/input00.txt : challenges/connected-cell-in-a-grid/output/output00.txt , challenges/connected-cell-in-a-grid/input/input02.txt : challenges/connected-cell-in-a-grid/output/output02.txt,,,,,,
260,Search,Medium,challenges/short-palindrome/short-palindrome.pdf,challenges/short-palindrome/input/input00.txt : challenges/short-palindrome/output/output00.txt , challenges/short-palindrome/input/input41.txt : challenges/short-palindrome/output/output41.txt , challenges/short-palindrome/input/input42.txt : challenges/short-palindrome/output/output42.txt,,,,,
261,Search,Hard,challenges/maximizing-mission-points/maximizing-mission-points.pdf,challenges/maximizing-mission-points/input/input00.txt : challenges/maximizing-mission-points/output/output00.txt,,,,,,,
262,Search,Medium,challenges/count-luck/count-luck.pdf,challenges/count-luck/input/input00.txt : challenges/count-luck/output/output00.txt , challenges/count-luck/input/input07.txt : challenges/count-luck/output/output07.txt,,,,,,
263,Search,Medium,challenges/cut-the-tree/cut-the-tree.pdf,challenges/cut-the-tree/input/input00.txt : challenges/cut-the-tree/output/output00.txt , challenges/cut-the-tree/input/input04.txt : challenges/cut-the-tree/output/output04.txt,,,,,,
264,Search,Hard,challenges/making-candies/making-candies.pdf,challenges/making-candies/input/input00.txt : challenges/making-candies/output/output00.txt , challenges/making-candies/input/input01.txt : challenges/making-candies/output/output01.txt , challenges/making-candies/input/input02.txt : challenges/making-candies/output/output02.txt,,,,,
265,Search,Medium,challenges/gena/gena.pdf,challenges/gena/input/input00.txt : challenges/gena/output/output00.txt,,,,,,,
266,Search,Medium,challenges/xor-quadruples/xor-quadruples.pdf,challenges/xor-quadruples/input/input00.txt : challenges/xor-quadruples/output/output00.txt,,,,,,,
267,Search,Medium,challenges/red-knights-shortest-path/red-knights-shortest-path.pdf,challenges/red-knights-shortest-path/input/input00.txt : challenges/red-knights-shortest-path/output/output00.txt , challenges/red-knights-shortest-path/input/input01.txt : challenges/red-knights-shortest-path/output/output01.txt , challenges/red-knights-shortest-path/input/input02.txt : challenges/red-knights-shortest-path/output/output02.txt,,,,,
268,Search,Hard,challenges/bike-racers/bike-racers.pdf,challenges/bike-racers/input/input00.txt : challenges/bike-racers/output/output00.txt,,,,,,,
269,Search,Advanced,challenges/task-scheduling/task-scheduling.pdf,challenges/task-scheduling/input/input00.txt : challenges/task-scheduling/output/output00.txt,,,,,,,
270,Search,Advanced,challenges/similarpair/similarpair.pdf,challenges/similarpair/input/input00.txt : challenges/similarpair/output/output00.txt , challenges/similarpair/input/input10.txt : challenges/similarpair/output/output10.txt,,,,,,
271,Search,Hard,challenges/playing-with-numbers/playing-with-numbers.pdf,challenges/playing-with-numbers/input/input00.txt : challenges/playing-with-numbers/output/output00.txt , challenges/playing-with-numbers/input/input13.txt : challenges/playing-with-numbers/output/output13.txt,,,,,,
272,Search,Expert,challenges/almost-integer-rock-garden/almost-integer-rock-garden.pdf,challenges/almost-integer-rock-garden/input/input00.txt : challenges/almost-integer-rock-garden/output/output00.txt,,,,,,,
273,Search,Hard,challenges/sorted-subsegments/sorted-subsegments.pdf,challenges/sorted-subsegments/input/input00.txt : challenges/sorted-subsegments/output/output00.txt , challenges/sorted-subsegments/input/input01.txt : challenges/sorted-subsegments/output/output01.txt,,,,,,
274,Search,Expert,challenges/distant-pairs/distant-pairs.pdf,challenges/distant-pairs/input/input00.txt : challenges/distant-pairs/output/output00.txt , challenges/distant-pairs/input/input01.txt : challenges/distant-pairs/output/output01.txt,,,,,,
275,Search,Hard,challenges/king-richards-knights/king-richards-knights.pdf,challenges/king-richards-knights/input/input00.txt : challenges/king-richards-knights/output/output00.txt,,,,,,,
276,Graph Theory,Hard,challenges/frog-in-maze/frog-in-maze.pdf,challenges/frog-in-maze/input/input00.txt : challenges/frog-in-maze/output/output00.txt,,,,,,,
277,Graph Theory,Medium,challenges/torque-and-development/torque-and-development.pdf,challenges/torque-and-development/input/input00.txt : challenges/torque-and-development/output/output00.txt , challenges/torque-and-development/input/input11.txt : challenges/torque-and-development/output/output11.txt , challenges/torque-and-development/input/input12.txt : challenges/torque-and-development/output/output12.txt,,,,,
278,Graph Theory,Medium,challenges/journey-to-the-moon/journey-to-the-moon.pdf,challenges/journey-to-the-moon/input/input00.txt : challenges/journey-to-the-moon/output/output00.txt , challenges/journey-to-the-moon/input/input15.txt : challenges/journey-to-the-moon/output/output15.txt,,,,,,
279,Graph Theory,Medium,challenges/synchronous-shopping/synchronous-shopping.pdf,challenges/synchronous-shopping/input/input00.txt : challenges/synchronous-shopping/output/output00.txt , challenges/synchronous-shopping/input/input01.txt : challenges/synchronous-shopping/output/output01.txt,,,,,,
280,Graph Theory,Hard,challenges/subset-component/subset-component.pdf,challenges/subset-component/input/input00.txt : challenges/subset-component/output/output00.txt,,,,,,,
281,Graph Theory,Medium,challenges/bfsshortreach/bfsshortreach.pdf,challenges/bfsshortreach/input/input00.txt : challenges/bfsshortreach/output/output00.txt , challenges/bfsshortreach/input/input07.txt : challenges/bfsshortreach/output/output07.txt,,,,,,
282,Graph Theory,Medium,challenges/kruskalmstrsub/kruskalmstrsub.pdf,challenges/kruskalmstrsub/input/input00.txt : challenges/kruskalmstrsub/output/output00.txt , challenges/kruskalmstrsub/input/input01.txt : challenges/kruskalmstrsub/output/output01.txt,,,,,,
283,Graph Theory,Medium,challenges/even-tree/even-tree.pdf,challenges/even-tree/input/input00.txt : challenges/even-tree/output/output00.txt,,,,,,,
284,Graph Theory,Medium,challenges/the-quickest-way-up/the-quickest-way-up.pdf,challenges/the-quickest-way-up/input/input00.txt : challenges/the-quickest-way-up/output/output00.txt,,,,,,,
285,Graph Theory,Hard,challenges/dijkstrashortreach/dijkstrashortreach.pdf,challenges/dijkstrashortreach/input/input00.txt : challenges/dijkstrashortreach/output/output00.txt , challenges/dijkstrashortreach/input/input08.txt : challenges/dijkstrashortreach/output/output08.txt,,,,,,
286,Graph Theory,Medium,challenges/the-story-of-a-tree/the-story-of-a-tree.pdf,challenges/the-story-of-a-tree/input/input00.txt : challenges/the-story-of-a-tree/output/output00.txt,,,,,,,
287,Graph Theory,Medium,challenges/primsmstsub/primsmstsub.pdf,challenges/primsmstsub/input/input00.txt : challenges/primsmstsub/output/output00.txt,,,,,,,
288,Graph Theory,Hard,challenges/toll-cost-digits/toll-cost-digits.pdf,challenges/toll-cost-digits/input/input00.txt : challenges/toll-cost-digits/output/output00.txt,,,,,,,
289,Graph Theory,Hard,challenges/real-estate-broker/real-estate-broker.pdf,challenges/real-estate-broker/input/input00.txt : challenges/real-estate-broker/output/output00.txt,,,,,,,
290,Graph Theory,Medium,challenges/clique/clique.pdf,challenges/clique/input/input00.txt : challenges/clique/output/output00.txt , challenges/clique/input/input10.txt : challenges/clique/output/output10.txt,,,,,,
291,Graph Theory,Medium,challenges/beautiful-path/beautiful-path.pdf,challenges/beautiful-path/input/input00.txt : challenges/beautiful-path/output/output00.txt,,,,,,,
292,Graph Theory,Hard,challenges/borrowing-money/borrowing-money.pdf,challenges/borrowing-money/input/input00.txt : challenges/borrowing-money/output/output00.txt,,,,,,,
293,Graph Theory,Hard,challenges/value-of-friendship/value-of-friendship.pdf,challenges/value-of-friendship/input/input00.txt : challenges/value-of-friendship/output/output00.txt,,,,,,,
294,Graph Theory,Expert,challenges/coprime-paths/coprime-paths.pdf,challenges/coprime-paths/input/input00.txt : challenges/coprime-paths/output/output00.txt,,,,,,,
295,Graph Theory,Expert,challenges/minimum-mst-graph/minimum-mst-graph.pdf,challenges/minimum-mst-graph/input/input00.txt : challenges/minimum-mst-graph/output/output00.txt,,,,,,,
296,Graph Theory,Medium,challenges/jack-goes-to-rapture/jack-goes-to-rapture.pdf,challenges/jack-goes-to-rapture/input/input00.txt : challenges/jack-goes-to-rapture/output/output00.txt , challenges/jack-goes-to-rapture/input/input17.txt : challenges/jack-goes-to-rapture/output/output17.txt,,,,,,
297,Graph Theory,Medium,challenges/crab-graphs/crab-graphs.pdf,challenges/crab-graphs/input/input00.txt : challenges/crab-graphs/output/output00.txt,,,,,,,
298,Graph Theory,Advanced,challenges/beadornaments/beadornaments.pdf,challenges/beadornaments/input/input00.txt : challenges/beadornaments/output/output00.txt,,,,,,,
299,Graph Theory,Medium,challenges/jeanies-route/jeanies-route.pdf,challenges/jeanies-route/input/input00.txt : challenges/jeanies-route/output/output00.txt,,,,,,,
300,Graph Theory,Hard,challenges/floyd-city-of-blinding-lights/floyd-city-of-blinding-lights.pdf,challenges/floyd-city-of-blinding-lights/input/input00.txt : challenges/floyd-city-of-blinding-lights/output/output00.txt , challenges/floyd-city-of-blinding-lights/input/input06.txt : challenges/floyd-city-of-blinding-lights/output/output06.txt,,,,,,
301,Graph Theory,Medium,challenges/johnland/johnland.pdf,challenges/johnland/input/input00.txt : challenges/johnland/output/output00.txt,,,,,,,
302,Graph Theory,Hard,challenges/kingdom-connectivity/kingdom-connectivity.pdf,challenges/kingdom-connectivity/input/input00.txt : challenges/kingdom-connectivity/output/output00.txt , challenges/kingdom-connectivity/input/input01.txt : challenges/kingdom-connectivity/output/output01.txt,,,,,,
303,Graph Theory,Hard,challenges/computer-game/computer-game.pdf,challenges/computer-game/input/input11.txt : challenges/computer-game/output/output11.txt,,,,,,,
304,Graph Theory,Medium,challenges/rust-murderer/rust-murderer.pdf,challenges/rust-murderer/input/input00.txt : challenges/rust-murderer/output/output00.txt,,,,,,,
305,Graph Theory,Hard,challenges/problem-solving/problem-solving.pdf,challenges/problem-solving/input/input00.txt : challenges/problem-solving/output/output00.txt,,,,,,,
306,Graph Theory,Hard,challenges/journey-scheduling/journey-scheduling.pdf,challenges/journey-scheduling/input/input00.txt : challenges/journey-scheduling/output/output00.txt,,,,,,,
307,Graph Theory,Hard,challenges/matrix/matrix.pdf,challenges/matrix/input/input00.txt : challenges/matrix/output/output00.txt , challenges/matrix/input/input10.txt : challenges/matrix/output/output10.txt , challenges/matrix/input/input11.txt : challenges/matrix/output/output11.txt,,,,,
308,Graph Theory,Hard,challenges/episode-recording/episode-recording.pdf,challenges/episode-recording/input/input00.txt : challenges/episode-recording/output/output00.txt,,,,,,,
309,Graph Theory,Hard,challenges/repair-roads/repair-roads.pdf,challenges/repair-roads/input/input00.txt : challenges/repair-roads/output/output00.txt , challenges/repair-roads/input/input01.txt : challenges/repair-roads/output/output01.txt,,,,,,
310,Graph Theory,Hard,challenges/kth-ancestor/kth-ancestor.pdf,challenges/kth-ancestor/input/input00.txt : challenges/kth-ancestor/output/output00.txt,,,,,,,
311,Graph Theory,Hard,challenges/bytelandian-tours/bytelandian-tours.pdf,challenges/bytelandian-tours/input/input00.txt : challenges/bytelandian-tours/output/output00.txt,,,,,,,
312,Graph Theory,Hard,challenges/shortest-path/shortest-path.pdf,challenges/shortest-path/input/input00.txt : challenges/shortest-path/output/output00.txt,,,,,,,
313,Graph Theory,Hard,challenges/savita-and-friends/savita-and-friends.pdf,challenges/savita-and-friends/input/input10.txt : challenges/savita-and-friends/output/output10.txt,,,,,,,
314,Graph Theory,Advanced,challenges/liars/liars.pdf,challenges/liars/input/input00.txt : challenges/liars/output/output00.txt , challenges/liars/input/input01.txt : challenges/liars/output/output01.txt,,,,,,
315,Graph Theory,Advanced,challenges/jumping-rooks/jumping-rooks.pdf,challenges/jumping-rooks/input/input00.txt : challenges/jumping-rooks/output/output00.txt , challenges/jumping-rooks/input/input01.txt : challenges/jumping-rooks/output/output01.txt,,,,,,
316,Graph Theory,Hard,challenges/tripartite-matching/tripartite-matching.pdf,challenges/tripartite-matching/input/input00.txt : challenges/tripartite-matching/output/output00.txt,,,,,,,
317,Graph Theory,Hard,challenges/tree-flow/tree-flow.pdf,challenges/tree-flow/input/input00.txt : challenges/tree-flow/output/output00.txt,,,,,,,
318,Graph Theory,Expert,challenges/dag-queries/dag-queries.pdf,challenges/dag-queries/input/input00.txt : challenges/dag-queries/output/output00.txt,,,,,,,
319,Graph Theory,Advanced,challenges/favourite-sequence/favourite-sequence.pdf,challenges/favourite-sequence/input/input00.txt : challenges/favourite-sequence/output/output00.txt,,,,,,,
320,Graph Theory,Advanced,challenges/quadrant-queries/quadrant-queries.pdf,challenges/quadrant-queries/input/input00.txt : challenges/quadrant-queries/output/output00.txt,,,,,,,
321,Graph Theory,Hard,challenges/hacker-country/hacker-country.pdf,challenges/hacker-country/input/input10.txt : challenges/hacker-country/output/output10.txt,,,,,,,
322,Graph Theory,Hard,challenges/missile-defend/missile-defend.pdf,challenges/missile-defend/input/input00.txt : challenges/missile-defend/output/output00.txt , challenges/missile-defend/input/input18.txt : challenges/missile-defend/output/output18.txt,,,,,,
323,Graph Theory,Expert,challenges/huarongdao/huarongdao.pdf,challenges/huarongdao/input/input01.txt : challenges/huarongdao/output/output01.txt,,,,,,,
324,Graph Theory,Hard,challenges/training-the-army/training-the-army.pdf,challenges/training-the-army/input/input00.txt : challenges/training-the-army/output/output00.txt,,,,,,,
325,Graph Theory,Hard,challenges/jim-and-his-lan-party/jim-and-his-lan-party.pdf,challenges/jim-and-his-lan-party/input/input00.txt : challenges/jim-and-his-lan-party/output/output00.txt,,,,,,,
326,Graph Theory,Hard,challenges/travel-in-hackerland/travel-in-hackerland.pdf,challenges/travel-in-hackerland/input/input00.txt : challenges/travel-in-hackerland/output/output00.txt,,,,,,,
327,Graph Theory,Expert,challenges/alex-vs-fedor/alex-vs-fedor.pdf,challenges/alex-vs-fedor/input/input00.txt : challenges/alex-vs-fedor/output/output00.txt,,,,,,,
328,Graph Theory,Expert,challenges/vertical-paths/vertical-paths.pdf,challenges/vertical-paths/input/input00.txt : challenges/vertical-paths/output/output00.txt,,,,,,,
329,Graph Theory,Expert,challenges/drive/drive.pdf,,,,,,,,
330,Graph Theory,Expert,challenges/tsp-grid/tsp-grid.pdf,challenges/tsp-grid/input/input00.txt : challenges/tsp-grid/output/output00.txt,,,,,,,
331,Graph Theory,Expert,challenges/road-network/road-network.pdf,challenges/road-network/input/input20.txt : challenges/road-network/output/output20.txt,,,,,,,
332,Graph Theory,Expert,challenges/going-office/going-office.pdf,challenges/going-office/input/input00.txt : challenges/going-office/output/output00.txt,,,,,,,
333,Graph Theory,Advanced,challenges/tree-splitting/tree-splitting.pdf,challenges/tree-splitting/input/input00.txt : challenges/tree-splitting/output/output00.txt , challenges/tree-splitting/input/input01.txt : challenges/tree-splitting/output/output01.txt,,,,,,
334,Graph Theory,Expert,challenges/ticket/ticket.pdf,challenges/ticket/input/input00.txt : challenges/ticket/output/output00.txt,,,,,,,
335,Graph Theory,Expert,challenges/dfs-edges/dfs-edges.pdf,challenges/dfs-edges/input/input00.txt : challenges/dfs-edges/output/output00.txt , challenges/dfs-edges/input/input01.txt : challenges/dfs-edges/output/output01.txt,,,,,,
336,Graph Theory,Expert,challenges/diameter-minimization/diameter-minimization.pdf,challenges/diameter-minimization/input/input00.txt : challenges/diameter-minimization/output/output00.txt,,,,,,,
337,Graph Theory,Expert,challenges/airports/airports.pdf,challenges/airports/input/input00.txt : challenges/airports/output/output00.txt , challenges/airports/input/input01.txt : challenges/airports/output/output01.txt,,,,,,
338,Graph Theory,Expert,challenges/definite-random-walks/definite-random-walks.pdf,challenges/definite-random-walks/input/input00.txt : challenges/definite-random-walks/output/output00.txt,,,,,,,
339,Greedy,Easy,challenges/minimum-absolute-difference-in-an-array/minimum-absolute-difference-in-an-array.pdf,challenges/minimum-absolute-difference-in-an-array/input/input00.txt : challenges/minimum-absolute-difference-in-an-array/output/output00.txt , challenges/minimum-absolute-difference-in-an-array/input/input01.txt : challenges/minimum-absolute-difference-in-an-array/output/output01.txt , challenges/minimum-absolute-difference-in-an-array/input/input10.txt : challenges/minimum-absolute-difference-in-an-array/output/output10.txt,,,,,
340,Greedy,Easy,challenges/marcs-cakewalk/marcs-cakewalk.pdf,challenges/marcs-cakewalk/input/input00.txt : challenges/marcs-cakewalk/output/output00.txt , challenges/marcs-cakewalk/input/input05.txt : challenges/marcs-cakewalk/output/output05.txt,,,,,,
341,Greedy,Easy,challenges/luck-balance/luck-balance.pdf,challenges/luck-balance/input/input00.txt : challenges/luck-balance/output/output00.txt , challenges/luck-balance/input/input03.txt : challenges/luck-balance/output/output03.txt , challenges/luck-balance/input/input12.txt : challenges/luck-balance/output/output12.txt,,,,,
342,Greedy,Easy,challenges/maximum-perimeter-triangle/maximum-perimeter-triangle.pdf,challenges/maximum-perimeter-triangle/input/input00.txt : challenges/maximum-perimeter-triangle/output/output00.txt , challenges/maximum-perimeter-triangle/input/input01.txt : challenges/maximum-perimeter-triangle/output/output01.txt , challenges/maximum-perimeter-triangle/input/input12.txt : challenges/maximum-perimeter-triangle/output/output12.txt,,,,,
343,Greedy,Easy,challenges/beautiful-pairs/beautiful-pairs.pdf,challenges/beautiful-pairs/input/input00.txt : challenges/beautiful-pairs/output/output00.txt , challenges/beautiful-pairs/input/input07.txt : challenges/beautiful-pairs/output/output07.txt,,,,,,
344,Greedy,Medium,challenges/candies/candies.pdf,challenges/candies/input/input00.txt : challenges/candies/output/output00.txt , challenges/candies/input/input10.txt : challenges/candies/output/output10.txt , challenges/candies/input/input16.txt : challenges/candies/output/output16.txt,,,,,
345,Greedy,Easy,challenges/sherlock-and-the-beast/sherlock-and-the-beast.pdf,challenges/sherlock-and-the-beast/input/input00.txt : challenges/sherlock-and-the-beast/output/output00.txt , challenges/sherlock-and-the-beast/input/input16.txt : challenges/sherlock-and-the-beast/output/output16.txt,,,,,,
346,Greedy,Easy,challenges/priyanka-and-toys/priyanka-and-toys.pdf,challenges/priyanka-and-toys/input/input00.txt : challenges/priyanka-and-toys/output/output00.txt , challenges/priyanka-and-toys/input/input12.txt : challenges/priyanka-and-toys/output/output12.txt,,,,,,
347,Greedy,Easy,challenges/largest-permutation/largest-permutation.pdf,challenges/largest-permutation/input/input00.txt : challenges/largest-permutation/output/output00.txt , challenges/largest-permutation/input/input11.txt : challenges/largest-permutation/output/output11.txt , challenges/largest-permutation/input/input12.txt : challenges/largest-permutation/output/output12.txt,,,,,
348,Greedy,Easy,challenges/mark-and-toys/mark-and-toys.pdf,challenges/mark-and-toys/input/input00.txt : challenges/mark-and-toys/output/output00.txt , challenges/mark-and-toys/input/input16.txt : challenges/mark-and-toys/output/output16.txt , challenges/mark-and-toys/input/input17.txt : challenges/mark-and-toys/output/output17.txt,,,,,
349,Greedy,Medium,challenges/greedy-florist/greedy-florist.pdf,challenges/greedy-florist/input/input00.txt : challenges/greedy-florist/output/output00.txt , challenges/greedy-florist/input/input10.txt : challenges/greedy-florist/output/output10.txt , challenges/greedy-florist/input/input11.txt : challenges/greedy-florist/output/output11.txt,,,,,
350,Greedy,Medium,challenges/angry-children/angry-children.pdf,challenges/angry-children/input/input00.txt : challenges/angry-children/output/output00.txt , challenges/angry-children/input/input01.txt : challenges/angry-children/output/output01.txt , challenges/angry-children/input/input15.txt : challenges/angry-children/output/output15.txt,,,,,
351,Greedy,Easy,challenges/jim-and-the-orders/jim-and-the-orders.pdf,challenges/jim-and-the-orders/input/input00.txt : challenges/jim-and-the-orders/output/output00.txt , challenges/jim-and-the-orders/input/input01.txt : challenges/jim-and-the-orders/output/output01.txt,,,,,,
352,Greedy,Easy,challenges/two-arrays/two-arrays.pdf,challenges/two-arrays/input/input01.txt : challenges/two-arrays/output/output01.txt , challenges/two-arrays/input/input10.txt : challenges/two-arrays/output/output10.txt,,,,,,
353,Greedy,Hard,challenges/board-cutting/board-cutting.pdf,challenges/board-cutting/input/input00.txt : challenges/board-cutting/output/output00.txt , challenges/board-cutting/input/input12.txt : challenges/board-cutting/output/output12.txt,,,,,,
354,Greedy,Advanced,challenges/reverse-shuffle-merge/reverse-shuffle-merge.pdf,challenges/reverse-shuffle-merge/input/input00.txt : challenges/reverse-shuffle-merge/output/output00.txt , challenges/reverse-shuffle-merge/input/input15.txt : challenges/reverse-shuffle-merge/output/output15.txt , challenges/reverse-shuffle-merge/input/input16.txt : challenges/reverse-shuffle-merge/output/output16.txt,,,,,
355,Greedy,Medium,challenges/pylons/pylons.pdf,challenges/pylons/input/input00.txt : challenges/pylons/output/output00.txt , challenges/pylons/input/input21.txt : challenges/pylons/output/output21.txt , challenges/pylons/input/input22.txt : challenges/pylons/output/output22.txt,,,,,
356,Greedy,Medium,challenges/cloudy-day/cloudy-day.pdf,challenges/cloudy-day/input/input00.txt : challenges/cloudy-day/output/output00.txt,,,,,,,
357,Greedy,Hard,challenges/chief-hopper/chief-hopper.pdf,challenges/chief-hopper/input/input00.txt : challenges/chief-hopper/output/output00.txt , challenges/chief-hopper/input/input01.txt : challenges/chief-hopper/output/output01.txt , challenges/chief-hopper/input/input15.txt : challenges/chief-hopper/output/output15.txt,,,,,
358,Greedy,Hard,challenges/sherlock-and-minimax/sherlock-and-minimax.pdf,challenges/sherlock-and-minimax/input/input00.txt : challenges/sherlock-and-minimax/output/output00.txt , challenges/sherlock-and-minimax/input/input11.txt : challenges/sherlock-and-minimax/output/output11.txt,,,,,,
359,Greedy,Hard,challenges/accessory-collection/accessory-collection.pdf,challenges/accessory-collection/input/input00.txt : challenges/accessory-collection/output/output00.txt,,,,,,,
360,Greedy,Advanced,challenges/team-formation/team-formation.pdf,challenges/team-formation/input/input00.txt : challenges/team-formation/output/output00.txt,,,,,,,
361,Greedy,Hard,challenges/fighting-pits/fighting-pits.pdf,challenges/fighting-pits/input/input00.txt : challenges/fighting-pits/output/output00.txt,,,,,,,
362,Constructive Algorithms,Medium,challenges/lena-sort/lena-sort.pdf,challenges/lena-sort/input/input00.txt : challenges/lena-sort/output/output00.txt , challenges/lena-sort/input/input01.txt : challenges/lena-sort/output/output01.txt,,,,,,
363,Dynamic Programming,Medium,challenges/coin-change/coin-change.pdf,challenges/coin-change/input/input00.txt : challenges/coin-change/output/output00.txt , challenges/coin-change/input/input01.txt : challenges/coin-change/output/output01.txt,,,,,,
364,Dynamic Programming,Medium,challenges/equal/equal.pdf,challenges/equal/input/input00.txt : challenges/equal/output/output00.txt , challenges/equal/input/input14.txt : challenges/equal/output/output14.txt,,,,,,
365,Constructive Algorithms,Medium,challenges/flipping-the-matrix/flipping-the-matrix.pdf,challenges/flipping-the-matrix/input/input00.txt : challenges/flipping-the-matrix/output/output00.txt , challenges/flipping-the-matrix/input/input07.txt : challenges/flipping-the-matrix/output/output07.txt,,,,,,
366,Dynamic Programming,Medium,challenges/sherlock-and-cost/sherlock-and-cost.pdf,challenges/sherlock-and-cost/input/input15.txt : challenges/sherlock-and-cost/output/output15.txt , challenges/sherlock-and-cost/input/input16.txt : challenges/sherlock-and-cost/output/output16.txt,,,,,,
